30000	29817	29817	29817
29325	28816	28812	28808
27391	26661	26645	26628
24459	23650	23617	23585
20925	20191	20144	20096
17264	16750	16692	16634
13970	13778	13721	13663
11487	11664	11620	11575
10149	10674	10657	10639
10136	10927	10945	10965
11448	12371	12433	12494
13909	14800	14903	15007
17184	17880	18015	18152
20831	21194	21347	21500
24356	24300	24448	24596
27283	26788	26909	27028
29215	28336	28408	28476
29891	28748	28755	28756
29216	27985	27915	27841
27281	26158	26015	25868
24345	23520	23317	23112
20802	20430	20190	19950
17127	17297	17053	16809
13814	14537	14321	14109
11308	12505	12351	12204
9945	11459	11395	11339
9906	11523	11564	11614
11193	12672	12820	12977
13630	14738	14980	15228
16887	17434	17742	18054
20520	20392	20728	21064
24036	23218	23536	23848
26958	25533	25789	26033
28890	27038	27191	27331
29566	27540	27564	27572
28892	26981	26865	26734
26956	25445	25199	24939
24015	23145	22795	22435
20463	20389	19979	19566
16774	17543	17127	16714
13443	14981	14614	14261
10915	13033	12770	12527
9526	11946	11827	11731
9461	11847	11895	11967
10723	12734	12948	13185
13138	14472	14830	15207
16376	16818	17277	17746
19995	19449	19950	20450
23502	22011	22486	22950
26421	24161	24546	24908
28351	25615	25854	26061
29028	26187	26240	26259
28355	25806	25661	25482
26418	24529	24200	23841
23473	22531	22057	21561
19913	20081	19519	18952
16211	17500	16926	16362
12861	15125	14618	14133
10311	13263	12891	12556
8898	12146	11965	11830
8807	11907	11948	12036
10044	12561	12824	13130
12437	14004	14459	14947
15656	16032	16622	17230
19262	18361	19010	19659
22761	20676	21298	21900
25675	22666	23175	23646
27604	24065	24390	24663
28283	24691	24784	24816
27611	24463	24305	24086
25674	23416	23023	22578
22726	21692	21111	20495
19157	19519	18824	18118
15442	17182	16466	15762
12075	14985	14343	13739
9503	13208	12729	12308
8066	12073	11826	11650
7949	11714	11736	11834
9162	12162	12455	12820
11533	13340	13871	14457
14735	15077	15779	16512
18328	17128	17909	18693
21819	19214	19970	20697
24729	21049	21678	22249
26659	22389	22803	23139
27339	23055	23194	23244
26669	22958	22800	22551
24733	22116	21675	21157
21781	20637	19969	19246
18205	18717	17908	17076
14478	16607	15762	14933
11094	14577	13810	13096
8501	12884	12301	11800
7040	11741	11422	11207
6899	11281	11273	11377
8088	11546	11858	12270
10438	12487	13078	13750
13622	13959	14756	15599
17202	15755	16653	17556
20686	17624	18505	19346
23594	19313	20056	20721
25524	20590	21094	21489
26206	21284	21478	21545
25539	21301	21154	20880
23604	20638	20165	19584
20650	19381	18642	17826
17067	17693	16783	15840
13329	15792	14831	13888
9928	13919	13035	12219
7315	12312	11626	11050
5831	11168	10774	10519
5666	10622	10576	10681
6832	10728	11042	11495
9162	11452	12089	12836
12330	12685	13561	14504
15898	14245	15247	16259
19375	15916	16908	17855
22280	17462	18315	19065
24212	18675	19269	19721
24897	19387	19641	19728
24234	19499	19376	19084
22300	18997	18506	17870
19345	17939	17145	16246
15756	16463	15467	14424
12007	14754	13689	12643
8591	13031	12038	11130
5959	11508	10722	10076
4453	10371	9899	9606
4265	9753	9663	9765
5409	9718	10025	10513
7718	10252	10918	11730
10871	11267	12207	13237
